Movie_Titles,
'Escape Room',
 'Rust Creek',
 'American Hangman',
 "A Dog's Way Home",
 'The Upside',
 'Replicas',
 'After Darkness',
 'Glass',
 'Close',
 'The Final Wish',
 'The Kid Who Would Be King',
 'Serenity',
 'I Am Mother',
 'Miss Bala',
 'Velvet Buzzsaw',
 'Piercing',
 'The Lego Movie 2: The Second Part',
 'What Men Want',
 'Cold Pursuit',
 'High Flying Bird',
 'The Prodigy',
 "Isn't It Romantic",
 'Happy Death Day 2U',
 'Alita: Battle Angel',
 'How to Train Your Dragon: The Hidden World',
 'Fighting with My Family',
 "Tyler Perry's A Madea Family Funeral",
 'Greta',
 'Triple Frontier',
 'Captain Marvel',
 'The Kid',
 'Wonder Park',
 'Captive State',
 'Nancy Drew and the Hidden Staircase',
 'The Aftermath',
 'Five Feet Apart',
 'The Highwaymen',
 'Red 11',
 'Never Grow Old',
 'Triple Threat',
 'Us',
 'Hotel Mumbai',
 'The Dirt',
 'Dumbo',
 'The Beach Bum',
 'Unplanned',
 'Shazam!',
 'Pet Sematary',
 'The Best of Enemies',
 'High Life',
 'The Haunting of Sharon Tate',
 'The Wind',
 'The Silence',
 'Hellboy',
 'Little',
 'Missing Link',
 'After',
 'Her Smell',
 'Breakthrough',
 'Penguins',
 'The Curse of La Llorona',
 'Under the Silver Lake',
 'Family',
 'Fast Color',
 'Someone Great',
 'I Spit on Your Grave: Deja Vu',
 'Avengers: Endgame',
 'I Trapped the Devil',
 'Body at Brighton Rock',
 'Buffaloed',
 'Long Shot',
 'The Intruder',
 'UglyDolls',
 'Extremely Wicked, Shockingly Evil and Vile',
 'Pokémon Detective Pikachu',
 'The Hustle',
 'Tolkien',
 'Poms',
 'The Professor and the Madman',
 'John Wick: Chapter 3 – Parabellum',
 "A Dog's Journey",
 'The Sun Is Also a Star',
 'The Professor',
 'The Souvenir',
 'The Tomorrow Man',
 'Aladdin',
 'Brightburn',
 'Booksmart',
 'The Perfection',
 'Always Be My Maybe',
 'Godzilla: King of the Monsters',
 'Rocketman',
 'Ma',
 'Dark Phoenix',
 'The Secret Life of Pets 2',
 'Late Night',
 'The Last Black Man in San Francisco',
 'Changeland',
 'Men in Black: International',
 'Shaft',
 "The Dead Don't Die",
 'Murder Mystery',
 'Plus One',
 'Being Frank',
 'Toy Story 4',
 "Child's Play",
 'Annabelle Comes Home',
 'Yesterday',
 'Ophelia',
 'Killers Anonymous',
 'Spider-Man: Far From Home',
 'Escape Plan: The Extractors',
 'Midsommar',
 'Stuber',
 'Crawl',
 'Point Blank',
 'The Farewell',
 "Darlin'",
 'The Lion King',
 'Once Upon a Time in Hollywood',
 'Skin',
 'The Red Sea Diving Resort',
 'Fast & Furious Presents: Hobbs & Shaw',
 'A Score to Settle',
 'The Operative',
 'Dora and the Lost City of Gold',
 'The Kitchen',
 'The Art of Racing in the Rain',
 'Scary Stories to Tell in the Dark',
 'The Peanut Butter Falcon',
 'After the Wedding',
 'Light of My Life',
 'The Angry Birds Movie 2',
 'Blinded by the Light',
 'Good Boys',
 "Where'd You Go, Bernadette",
 '47 Meters Down: Uncaged',
 'Gwen',
 'Ready or Not',
 'Angel Has Fallen',
 'Brittany Runs a Marathon',
 'Overcomer',
 "Jacob's Ladder",
 'Burn',
 'Official Secrets',
 "Don't Let Go",
 'Itsy Bitsy',
 'The Fanatic',
 'It Chapter Two',
 'Satanic Panic',
 'The Obituary of Tunde Johnson',
 'The Goldfinch',
 'Hustlers',
 'The Sound of Silence',
 'Monos',
 'Tall Girl',
 'Polaroid',
 'Ad Astra',
 'Downton Abbey',
 'Rambo: Last Blood',
 'Bloodline',
 'Running with the Devil',
 'Fractured',
 'Abominable',
 'The Laundromat',
 'Judy',
 'Prey',
 'Joker',
 'Lucy in the Sky',
 'Dolemite Is My Name',
 'In the Tall Grass',
 'Low Tide',
 'Wrinkles the Clown',
 'Little Monsters',
 'Gemini Man',
 'The Addams Family',
 'The King',
 'Jexi',
 'El Camino: A Breaking Bad Movie',
 'Maleficent: Mistress of Evil',
 'Zombieland: Double Tap',
 'Jojo Rabbit',
 'The Lighthouse',
 'Wounds',
 'Black and Blue',
 'The Current War',
 'Countdown',
 'The Kill Team',
 'The Gallows Act II',
 'Terminator: Dark Fate',
 'Motherless Brooklyn',
 'The Irishman',
 'Harriet',
 'Arctic Dogs',
 'Christmas Coupon',
 'Marriage Story',
 'Doctor Sleep',
 'Last Christmas',
 'Playing with Fire',
 'Midway',
 'Klaus',
 'Honey Boy',
 'Ford v Ferrari',
 "Charlie's Angels",
 'The Good Liar',
 'The Report',
 'Waves',
 'Frozen II',
 'A Beautiful Day in the Neighborhood',
 '21 Bridges',
 'Dark Waters',
 'Knives Out',
 'Queen & Slim',
 'The Two Popes',
 'Playmobil: The Movie',
 'The Aeronauts',
 'A Million Little Pieces',
 "Daniel Isn't Real",
 'Jumanji: The Next Level',
 'Richard Jewell',
 'Black Christmas',
 '6 Underground',
 'Bombshell',
 'Uncut Gems',
 'Seberg',
 'A Hidden Life',
 'Star Wars: The Rise of Skywalker',
 'Cats',
 'Spies in Disguise',
 'Little Women',
 '1917',
 'Just Mercy',
 'Clemency',
 'Apparition'
