,movie_title,article_link,text
85,Aladdin,http://www.nytimes.com/2019/05/22/movies/aladdin-review.html,testing
86,Brightburn,http://www.nytimes.com/2019/05/23/movies/brightburn-review.html,testing
87,Booksmart,http://www.nytimes.com/2019/05/22/movies/booksmart-review.html,testing
88,The Perfection,http://www.nytimes.com/2019/05/24/movies/the-perfection-review.html,testing
89,Always Be My Maybe,http://www.nytimes.com/2019/05/29/movies/always-be-my-maybe-review.html,testing
90,Godzilla: King of the Monsters,http://www.nytimes.com/2019/05/28/movies/godzilla-king-of-the-monsters-review.html,testing
91,Rocketman,http://www.nytimes.com/2019/05/28/movies/rocketman-review.html,testing
92,Ma,http://www.nytimes.com/2020/01/16/movies/weathering-with-you-review.html,testing
93,Dark Phoenix,http://www.nytimes.com/2019/06/06/movies/dark-phoneix-review.html,testing
94,The Secret Life of Pets 2,http://www.nytimes.com/2019/06/05/movies/the-secret-life-of-pets-2-review.html,testing
95,Late Night,http://www.nytimes.com/2019/06/05/movies/late-night-review.html,testing
96,The Last Black Man in San Francisco,http://www.nytimes.com/2019/06/06/movies/the-last-black-man-in-san-francisco-review.html,testing
97,Changeland,-1,NA
98,Men in Black: International,http://www.nytimes.com/2019/06/12/movies/men-in-black-international-review.html,testing
99,Shaft,http://www.nytimes.com/2019/06/13/movies/shaft-review.html,testing
100,The Dead Dont Die,-1,NA
101,Murder Mystery,http://www.nytimes.com/2019/06/14/movies/murder-mystery-review-a-whodunit-on-the-high-seas.html,testing
102,Plus One,http://www.nytimes.com/2019/06/13/movies/plus-one-review.html,testing
103,Being Frank,http://www.nytimes.com/2019/06/13/movies/being-frank-review.html,testing
104,Toy Story 4,http://www.nytimes.com/2019/06/20/movies/toy-story-4-review.html,testing
105,Childs Play,-1,NA
106,Annabelle Comes Home,http://www.nytimes.com/2019/06/24/movies/annabelle-comes-home-review.html,testing
107,Yesterday,http://www.nytimes.com/2019/06/26/movies/yesterday-review.html,testing
108,Ophelia,http://www.nytimes.com/2019/06/27/movies/ophelia-review.html,testing
109,Killers Anonymous,http://www.nytimes.com/2019/06/27/movies/killers-anonymous-review.html,testing
110,Spider-Man: Far From Home,http://www.nytimes.com/2019/06/27/movies/spider-man-far-from-home-review.html,testing
111,Escape Plan: The Extractors,-1,NA
112,Midsommar,http://www.nytimes.com/2019/07/02/movies/midsommar-review.html,testing
113,Stuber,http://www.nytimes.com/2019/07/10/movies/stuber-review.html,testing
114,Crawl,-1,NA
